Index,Key (Hex),Key (Dec),Name,Unknown,Type,Subtype,Size,Size (Hex)
146,0xE348ED9D,3813207453,Unknown_E348ED9D,YES,Bool2,,0,0x0
147,0xE3AFBE89,3819945609,Unknown_E3AFBE89,YES,Object,,32,0x20
148,0xE3E89BD1,3823672273,MyStatus,NO,Object,,120,0x78
149,0xE9A56AA6,3919932070,Unknown_E9A56AA6,YES,UInt64,,8,0x8
150,0xE9DC8427,3923543079,Unknown_E9DC8427,YES,Object,,256,0x100
151,0xEA8121EB,3934331371,Unknown_EA8121EB,YES,Byte,,1,0x1
152,0xED6F46E7,3983492839,EventFlagsOther,NO,Object,,32768,0x8000
153,0xEDAFF794,3987732372,PlayTime,NO,Object,,12,0xC
154,0xF1397E13,4047076883,Unknown_F1397E13,YES,Object,,32768,0x8000
155,0xF286ADA4,4068912548,PictureCurrentHeight,NO,UInt32,,4,0x4
156,0xF3A8569D,4087895709,StoredShinyEntity,NO,Object,,4960,0x1360
157,0xF428AFF2,4096307186,HairMake06ColorEyebrow,NO,Object,,512,0x200
158,0xF4439BD4,4098071508,FashionEyewear,NO,Object,,2400,0x960
159,0xFA089054,4194865236,FashionEarrings,NO,Object,,2400,0x960
160,0xFADA7742,4208621378,EventWork,NO,Object,,4096,0x1000
161,0xFC08F055,4228444245,HairMake13Freckles,NO,Object,,64,0x40
